PLC_active_X,PLC_active_Y,PLC_inhibited_X,PLC_inhibited_Y
0,1.001006036,0.00E+00,1.001006036
0.99469496,0.786720322,0.99469496,1.067404427
1.98938992,0.699195171,1.98938992,1.251509054
3.00397878,0.626760563,2.984084881,1.290744467
3.99867374,0.493963783,3.99867374,1.323943662
4.9933687,0.445674044,4.9933687,1.345070423
6.00795756,0.442655936,6.00795756,1.432595573
7.022546419,0.442655936,7.00265252,1.447686117
8.017241379,0.436619718,7.99734748,1.474849095
9.01193634,0.439637827,9.01193634,1.520120724
10.0066313,0.427565392,10.0066313,1.492957746
11.02122016,0.394366197,11.02122016,1.456740443
12.03580902,0.394366197,12.01591512,1.489939638
13.01061008,0.373239437,13.01061008,1.514084507
14.02519894,0.358148893,14.00530504,1.535211268
