X,PI4P,PI45P2
-4.398224477,99.58179477,100
-3.292399395,99.32990417,100
-2.085707039,99.52330178,100
0.063837666,99.26134646,100.2877698
2.242460368,104.4896933,69.20863309
3.314022405,104.5699861,65.75539568
4.49752695,104.2761874,64.89208633
5.630741915,103.7670579,63.74100719
6.760443881,103.3605755,63.16546763
7.908230818,102.2133919,62.30215827
8.99587825,102.0056342,61.72661871
10.18303107,101.5663048,62.01438849
11.30488269,100.5480459,61.15107914
12.43809765,100.367387,60.86330935
13.57131262,98.70789439,60.86330935
14.71558656,98.14856797,60.86330935
15.85717185,96.78705724,60.57553957
16.95283703,96.77556077,60.28776978
18.11926443,96.31488073,60
