Golgi,,Plasma_membrane,
X,Y,X,Y
0.074678623,1.015072103,0.074678623,0.722942584
0.252689538,1.0172189,0.252689538,0.726190302
0.430700452,1.01931065,0.430700452,0.725584795
0.608711366,1.019861111,0.608711366,0.728997652
0.786722281,1.019806065,0.786722281,0.728061869
0.964733195,1.020246434,0.964733195,0.727786638
1.14274411,1.019420743,1.14274411,0.724373782
1.320755024,1.019585881,1.320755024,0.724153597
1.498765939,1.01931065,1.498765939,0.72299763
1.676776853,1.018154683,1.676776853,0.722447169
1.854787767,1.020631756,1.854787767,0.725089381
2.032798682,1.015842748,2.046669662,0.721259747
2.212427877,1.013382188,2.210809596,0.724621489
2.388820511,1.003732611,2.388820511,0.724593966
2.518282994,0.99015091,2.566831425,0.7241169
2.583014236,0.972218297,2.76641942,0.724373782
2.633874497,0.954095656,2.922853254,0.731942617
2.696293908,0.934908504,3.100864169,0.729768297
2.785299366,0.916229099,3.278875083,0.733805009
2.898579039,0.900722598,3.454188862,0.740924301
3.044224332,0.887739522,3.622759804,0.743598623
3.189869626,0.874791768,3.812907826,0.748076621
3.327423514,0.860747374,3.990918741,0.753823432
3.448794592,0.846726527,4.152746845,0.757340264
3.578257076,0.833264092,4.34694057,0.761511533
3.723902369,0.817571373,4.557317105,0.764942739
3.877639068,0.804796097,4.735328019,0.771328083
4.047558577,0.792190546,4.90686581,0.774509747
4.235458987,0.781964208,5.058984227,0.782934942
4.408435249,0.774449196,5.188446711,0.794410737
4.560553667,0.768939084,5.309817789,0.809144737
4.774886,0.764404511,5.406914651,0.82276864
4.967955919,0.761536763,5.504011514,0.83518153
5.139898279,0.765823476,5.584925566,0.84804855
5.317909194,0.766979444,5.657748212,0.86351925
5.495920108,0.766263845,5.738662264,0.878535819
5.673931023,0.769841839,5.827667722,0.892502843
5.851941937,0.775401493,5.932855989,0.906717836
6.029952852,0.781951976,6.054227067,0.922223136
6.207963766,0.789658426,6.175598145,0.935003655
6.385974681,0.796979554,6.296969223,0.949925073
6.563985595,0.805181419,6.450705922,0.956668217
6.741996509,0.814814483,6.612534026,0.965500054
6.920007424,0.822520933,6.77436213,0.973512316
7.098018338,0.828631047,6.952373045,0.974943514
7.276029253,0.836282452,7.130383959,0.971255427
7.454040167,0.84261275,7.308394874,0.975659113
7.594654788,0.846666667,7.486405788,0.977200403
7.706013363,0.836666667,7.664416702,0.975824251
7.772828508,0.846666667,7.842427617,0.973126994
7.861915367,0.855,8.012347126,0.975538012
7.928730512,0.85,8.182266635,0.972851763
8.101352583,0.857805467,8.36027755,0.978356371
8.279363498,0.865401825,8.538288464,0.976815081
8.457374412,0.868429359,8.716299379,0.97598939
8.635385327,0.871071571,8.894310293,0.974558192
8.813396241,0.874099105,9.072321208,0.972466441
8.991407156,0.876851409,9.250332122,0.97472333
9.16941807,0.878778021,9.428343037,0.972026072
9.347428984,0.881750509,9.606353951,0.975438929
9.525439899,0.883346846,9.784364865,0.974172869
9.703450813,0.885438596,9.954284375,0.976688475
9.881461728,0.887034933,,
10.00283281,0.888012,,
