x,PI345P3,PI345P3_up,PI345P3_dw,PI3K,PI3K_up,PI3K_dw
-0.107,0.90861,0.94392,0.8825,0.7222,0.75755,0.69036
-0.036,0.90777,0.94326,0.87904,0.72232,0.75717,0.68837
0.036,0.90692,0.94259,0.87558,0.72242,0.75679,0.68641
0.072,0.90649,0.94226,0.8738,0.72246,0.7566,0.68546
0.107,0.90607,0.94193,0.87199,0.72249,0.75641,0.68454
0.251,0.90438,0.94059,0.86397,0.7226,0.75566,0.68117
0.68,0.89937,0.93664,0.84978,0.72259,0.75366,0.67542
0.716,0.89896,0.93632,0.84974,0.72257,0.75352,0.67527
1.11,0.89461,0.93285,0.85246,0.72229,0.75232,0.67636
1.217,0.89348,0.93194,0.85339,0.7222,0.75211,0.6773
1.611,0.88958,0.92885,0.85506,0.72189,0.75161,0.68221
1.897,0.88702,0.92693,0.85344,0.72177,0.75145,0.68674
2.434,0.88295,0.92486,0.84922,0.72203,0.75139,0.69598
2.577,0.88203,0.92501,0.84971,0.72227,0.7514,0.69828
2.649,0.8816,0.92531,0.85058,0.72243,0.75143,0.69937
3.293,0.87862,0.93612,0.86917,0.72534,0.75331,0.70641
3.436,0.87821,0.93674,0.87122,0.7265,0.75425,0.70706
3.543,0.87796,0.93649,0.87171,0.72754,0.75507,0.70729
3.973,0.87761,0.93282,0.86795,0.73389,0.75931,0.70658
4.009,0.87762,0.93244,0.86738,0.73464,0.75972,0.70646
4.08,0.87769,0.93168,0.86618,0.73627,0.76057,0.7062
4.689,0.87976,0.92567,0.85495,0.76114,0.76862,0.70487
5.011,0.8822,0.92365,0.85132,0.7823,0.77325,0.70611
5.118,0.88327,0.92331,0.85122,0.74629,0.77483,0.707
5.297,0.88539,0.92328,0.85233,0.73357,0.77748,0.70911
5.369,0.88637,0.92351,0.85316,0.73239,0.77855,0.71015
5.512,0.88858,0.92451,0.85534,0.73238,0.7807,0.71253
5.548,0.88919,0.9249,0.85598,0.73269,0.78123,0.71319
6.263,0.9063,0.95216,0.87704,0.75239,0.79186,0.73011
6.335,0.9085,0.95724,0.88078,0.75554,0.79289,0.7321
6.55,0.91554,0.97297,0.89571,0.76719,0.7959,0.73829
6.657,0.91927,0.97978,0.90253,0.7764,0.79738,0.74146
6.729,0.92183,0.9836,0.90537,0.79642,0.79835,0.74359
6.836,0.92574,0.98841,0.90759,0.79235,0.79982,0.74681
7.445,0.94833,1.00627,0.91509,0.78521,0.80871,0.76466
7.48,0.94961,1.0072,0.91601,0.78576,0.80932,0.76567
7.659,0.95583,1.01227,0.92172,0.78988,0.81269,0.77061
7.695,0.95703,1.01341,0.92304,0.79093,0.81343,0.77158
7.874,0.96281,1.01992,0.93031,0.79689,0.81763,0.77626
8.196,0.97238,1.03278,0.94483,0.80941,0.82739,0.78396
8.304,0.97536,1.03664,0.94961,0.81373,0.83113,0.7863
8.769,0.98729,1.04792,0.96483,0.83003,0.84832,0.79509
8.805,0.98815,1.04842,0.96554,0.83089,0.8496,0.79568
8.984,0.99233,1.05034,0.96826,0.83363,0.85569,0.79846
9.055,0.99396,1.05092,0.96907,0.83399,0.85793,0.7995
9.592,1.0054,1.05371,0.97285,0.83073,0.87123,0.80606
9.843,1.01037,1.05506,0.97428,0.83174,0.87579,0.80851
9.95,1.01244,1.05585,0.97498,0.83315,0.87752,0.80948
10.093,1.01516,1.05721,0.97612,0.83567,0.87968,0.81073
10.344,1.0198,1.06115,0.97924,0.84117,0.8831,0.81283
10.773,1.02754,1.07702,0.98672,0.85194,0.88835,0.81646
11.059,1.03265,1.09249,0.99045,0.85849,0.89174,0.81929
11.167,1.03457,1.09732,0.99171,0.86004,0.89302,0.82063
11.274,1.03649,1.10098,0.99298,0.85939,0.89433,0.82226
11.668,1.04368,1.10673,0.99821,0.85226,0.89946,0.83093
11.704,1.04435,1.10694,0.99877,0.85293,0.89996,0.83182
12.026,1.05054,1.10815,1.00459,0.86094,0.90491,0.83963
12.241,1.05488,1.10911,1.00899,0.86726,0.90887,0.84462
12.276,1.05563,1.10935,1.00973,0.86836,0.9096,0.84543
12.419,1.05866,1.11068,1.01269,0.87286,0.91283,0.84867
12.491,1.06022,1.11164,1.01412,0.87517,0.91463,0.85028
13.207,1.07638,1.12987,1.02916,0.90008,0.93835,0.8659
13.422,1.08121,1.13616,1.03545,0.90838,0.945,0.87044
13.493,1.0828,1.1381,1.03759,0.91133,0.94685,0.87194
13.994,1.09339,1.14943,1.05079,0.92942,0.95669,0.88208
14.03,1.0941,1.15013,1.05156,0.92992,0.95728,0.88277
14.245,1.09824,1.15412,1.0557,0.93287,0.96078,0.88675
14.388,1.10087,1.15662,1.058,0.93485,0.96312,0.88919
14.603,1.1046,1.16021,1.06091,0.93785,0.96685,0.89249
14.71,1.10638,1.16197,1.06217,0.93937,0.96887,0.89404
14.961,1.11032,1.1654,1.06465,0.94298,0.97408,0.89799
15.426,1.1169,1.16904,1.06761,0.95005,0.98496,0.90664
15.712,1.1205,1.17081,1.06805,0.95472,0.99184,0.91208
16.106,1.12488,1.17312,1.06545,0.9619,1.00071,0.91931
16.142,1.12524,1.17333,1.06509,0.96262,1.00146,0.91994
16.356,1.1273,1.17458,1.06373,0.96733,1.00572,0.92363
16.535,1.12885,1.17561,1.06447,0.97185,1.00903,0.92655
17.108,1.13266,1.17896,1.07302,0.98561,1.01866,0.93549
17.359,1.13371,1.18049,1.07711,0.98246,1.02265,0.93955
17.645,1.13449,1.18231,1.08112,0.97907,1.02723,0.94471
17.788,1.13474,1.18325,1.08269,0.98116,1.02955,0.94766
17.824,1.1348,1.18349,1.08303,0.9825,1.03014,0.94845
17.86,1.13485,1.18372,1.08334,0.98422,1.03073,0.94927
18.325,1.13532,1.18669,1.08543,1.01392,1.03865,0.96198
18.826,1.13607,1.18929,1.08473,0.99927,1.04797,0.97439
18.933,1.13636,1.18977,1.08436,0.99795,1.05013,0.97641
19.077,1.13686,1.19037,1.08387,1.00344,1.05314,0.9788
19.112,1.13701,1.19051,1.08377,1.00604,1.05392,0.97934
19.184,1.13734,1.19081,1.08361,1.01192,1.05552,0.98038
19.399,1.13858,1.19169,1.08383,1.02451,1.06063,0.98315
19.542,1.13966,1.1923,1.08496,1.02452,1.06415,0.98483
19.721,1.14131,1.19309,1.08739,1.01918,1.06841,0.98681
19.828,1.14244,1.19359,1.08909,1.03247,1.07081,0.98796
20.687,1.15381,1.19891,1.10116,1.0485,1.08559,0.99764
20.723,1.15432,1.19921,1.10153,1.04908,1.08608,0.9981
20.795,1.15535,1.19985,1.10223,1.05026,1.08704,0.99907
21.26,1.16185,1.2051,1.10608,1.05974,1.09287,1.00673
21.296,1.16232,1.20557,1.10635,1.06076,1.0933,1.00747
21.618,1.16635,1.20992,1.10899,1.07928,1.09706,1.01558
21.689,1.16718,1.21088,1.10965,1.05366,1.09788,1.01775
21.976,1.17017,1.21445,1.113,1.06446,1.10113,1.0276
22.119,1.17146,1.21598,1.11541,1.07138,1.10275,1.03292
22.262,1.17261,1.2173,1.11838,1.07667,1.10436,1.03809
22.405,1.17362,1.2184,1.12164,1.08005,1.10597,1.04274
22.584,1.17472,1.21949,1.12529,1.08251,1.10799,1.04743
22.799,1.17581,1.22049,1.12803,1.08418,1.11044,1.05133
23.193,1.17727,1.22175,1.12913,1.08727,1.11504,1.05565
23.801,1.17846,1.22304,1.12835,1.09879,1.12268,1.05995
24.087,1.17867,1.2237,1.12805,1.10437,1.12668,1.06243
24.23,1.17872,1.22412,1.12799,1.10672,1.1288,1.06406
24.302,1.17873,1.22438,1.12798,1.10777,1.1299,1.06498
24.338,1.17873,1.22453,1.12798,1.10827,1.13045,1.06546
25.125,1.17844,1.23075,1.1287,1.11642,1.14391,1.07788
25.555,1.1782,1.23335,1.12947,1.11977,1.1516,1.08364
25.698,1.17812,1.23385,1.12976,1.12084,1.15395,1.0851
25.734,1.17811,1.23396,1.12984,1.12111,1.1545,1.08543
26.736,1.17784,1.23521,1.13232,1.12924,1.16554,1.09122
26.879,1.17785,1.23519,1.13272,1.13054,1.16674,1.09174
27.201,1.17796,1.23499,1.13365,1.13364,1.16951,1.09284
27.344,1.17804,1.23483,1.13406,1.13508,1.1708,1.09332
27.702,1.17835,1.23416,1.135,1.13886,1.17421,1.09462
27.989,1.1787,1.23324,1.13555,1.14202,1.17704,1.0958
28.203,1.17902,1.23235,1.13581,1.14446,1.17919,1.0968
28.919,1.18022,1.23031,1.13621,1.15372,1.18628,1.10146
28.991,1.18035,1.23037,1.13625,1.15483,1.18696,1.10212
29.098,1.18053,1.23056,1.13631,1.15662,1.18797,1.10322
29.17,1.18065,1.23075,1.13637,1.15792,1.18862,1.10403
29.921,1.18166,1.23417,1.13752,1.16993,1.19449,1.11359
30.029,1.18174,1.23475,1.13783,1.17025,1.19516,1.11449
30.064,1.18177,1.23494,1.13795,1.17029,1.19538,1.11474
30.136,1.18181,1.23532,1.13819,1.17031,1.1958,1.11518
30.709,1.18176,1.23815,1.1407,1.16902,1.19862,1.11711
31.031,1.18157,1.23935,1.14226,1.1683,1.19991,1.11804
31.21,1.18146,1.23981,1.14303,1.16817,1.20058,1.11887
31.389,1.18137,1.24011,1.14367,1.16838,1.20123,1.12023
31.711,1.18131,1.24034,1.14434,1.17023,1.20242,1.12452
32.069,1.18149,1.24035,1.14446,1.17672,1.2038,1.13213
32.283,1.18173,1.24039,1.14429,1.18353,1.20471,1.13739
32.57,1.18223,1.24063,1.14388,1.19235,1.20611,1.144
32.713,1.18254,1.24089,1.14362,1.19181,1.20693,1.14685
32.785,1.18272,1.24106,1.14349,1.19034,1.2074,1.14813
32.999,1.1833,1.24174,1.1431,1.18604,1.20917,1.1512
33.035,1.18341,1.24188,1.14304,1.18582,1.20956,1.15159
33.107,1.18364,1.24216,1.14293,1.18613,1.21052,1.15225
33.572,1.18539,1.24439,1.14255,1.20041,1.22863,1.15434
33.822,1.18659,1.24576,1.14273,1.20471,1.23355,1.15502
34.145,1.1885,1.24756,1.14345,1.20152,1.23873,1.15686
34.18,1.18875,1.24776,1.14357,1.20087,1.23927,1.15719
34.574,1.19228,1.24986,1.14529,1.19583,1.24504,1.1625
34.681,1.19373,1.25039,1.14585,1.1967,1.24658,1.16442
34.753,1.19493,1.25074,1.14623,1.19837,1.24761,1.16579
35.147,1.20423,1.2524,1.14843,1.22025,1.25341,1.17454
35.361,1.20619,1.25312,1.14958,1.233,1.25682,1.17993
35.433,1.20642,1.25332,1.14994,1.23577,1.25805,1.18167
35.469,1.20649,1.25342,1.15011,1.23684,1.25868,1.1825
35.827,1.20635,1.2541,1.15149,1.23872,1.26678,1.18932
35.898,1.20622,1.25417,1.15165,1.23768,1.26896,1.19046
36.077,1.20583,1.25422,1.15185,1.23386,1.27457,1.19312
36.292,1.20528,1.25401,1.15169,1.228,1.27903,1.1961
36.722,1.20416,1.25244,1.15027,1.21926,1.28412,1.20163
36.865,1.20381,1.25144,1.14961,1.21966,1.2855,1.20337
37.044,1.20342,1.24983,1.14879,1.22442,1.28715,1.20547
37.366,1.20292,1.24629,1.14754,1.23871,1.29007,1.20901
37.581,1.20277,1.24395,1.14692,1.24532,1.29212,1.21109
37.724,1.2028,1.2427,1.1466,1.24718,1.29363,1.21225
37.759,1.20282,1.24245,1.14653,1.24742,1.29404,1.21251
38.046,1.20328,1.24176,1.14616,1.24767,1.29808,1.21404
38.261,1.20391,1.24302,1.14609,1.24736,1.30235,1.21477
38.404,1.20445,1.2445,1.14613,1.2475,1.30545,1.21517
38.547,1.20507,1.2463,1.14626,1.2482,1.30818,1.21558
38.618,1.2054,1.24727,1.14634,1.24883,1.30936,1.21579
39.406,1.2091,1.25677,1.14829,1.26335,1.32159,1.21926
39.513,1.20943,1.25747,1.1487,1.26513,1.32366,1.22001
39.656,1.20973,1.25816,1.14933,1.26683,1.32674,1.22119
39.728,1.20981,1.25843,1.14969,1.26729,1.32845,1.22188
39.764,1.20983,1.25855,1.1499,1.26739,1.32934,1.22225
39.907,1.20978,1.25899,1.15086,1.26698,1.33296,1.22398
40.408,1.20742,1.26119,1.15752,1.26708,1.34038,1.2334
40.587,1.20547,1.2632,1.16132,1.28065,1.33793,1.23504
40.659,1.20447,1.26447,1.1628,1.29313,1.33579,1.23281
40.73,1.20333,1.26622,1.16414,1.30954,1.33291,1.22527
